Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC -0.64%  - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
1530844759.0,MuffyPuffy,Bitcoin forecast for the next weeks (bearish),"
Looking on the  RSI , we can see a reversal everytime when we hit an oversold situation, only despite on the last one. 
Furthermore we are forming a triangle, in which we are currently at the 4th wave. 
Hence we should see a small upwave and then a big last downwave due to the RSI! 

The small upwave:  






There are many different legit counts currently, but one of them is this one with quite perfekt  Elliott Wave  extentions. 







If we assume that our  Elliott Wave  is finished and we are now in a corrective  ABC  wave, than a normal correction to the 0.38 Fibonacci-level would be nearby at 7300$. 
Currently we have formed a  leading diagonal  and are waiting for a minor correction to a target between 6350$-6150$. 

The big downwave:  
At nearby 7300$ we should hit the major longterm resistance and heading downwards again. 
For the big downwards target please read my last TA I've written the last month ago. 




 

Personally my target is nearby 5000$ to 4700$, but that will be decided if I have more data. 

DYOR
",,149,0,2
1530842916.0,sonic10,BTC Analysis,"
New  ABCD pattern 
",Long,101,1,1
1530842503.0,theforexarmy,"BTCUSD Testing Intermediate Support, Prepare For A Drop!","
Sell below 6760.  
Stop loss at 7038.  
Take profit at 6294. 
Reason for the trading strategy (technically): 
BTCUSD -0.64%  is testing its intermediate support at 6463 (61.8%  Fibonacci retracement , horizontal overlap support) where it could either rise back up to its resistance at 6760 before dropping or it could break past its intermediate support and drop down to its support at 6294 (50%  Fibonacci retracement , horizontal overlap support).  
Stochastic  (89, 5, 3) reversed nicely off its resistance at 95% where a corresponding drop is expected. 
",Short,131,0,2
1530840557.0,Altcoin_Ninjas,BTCUSD,"
We all know  Bitcoin -0.64%  is back! However, it will stay in the  resistance zone  from 6520-6540 because India's  central bank  is directing all banks to stop providing any services related to crypto but the country's finance ministry has not given the opinion yet. Investors still lack confidence.
",,139,1,3
1530836560.0,FarmerTIm,Falling Wedge Technicals,"
Hello everybody, 

I made a post yesterday about the 6 month long  falling wedge bitcoin -0.64%  entered. I want to explain a bit more of the fundamentals on why a  falling wedge  is a great way to see where price action has a good chance of going. 

If you don't know already, a  falling wedge  is a  bullish  signal. As it gets to the end the price starts moving more sideways and tighter into the point of the  wedge . When the candle sticks start to get towards the edge it is time to keep a close eye the price moving outside those lines.  

It's when the price exits on the top is the time to get into the trade. Be patient thought! Do not jump in the second the price is out. I like it to move a little further for confirmation because placing lines is not exact. 

Now the fun part about  falling wedge  breakouts is that the size of the end of the  wedge  is normally the size of the rally that happens. That is a lot of cheddar. If/when  bitcoin -0.64%  breaks out we have a great chance of seeing all time highs being tested again quickly. 

Just my two cents on the issue.
",Long,163,0,5
1530854758.0,KoolAid002,FISH,"
4 FISH
",,24,0,0
1530854097.0,jamstock,BTCUSD possible short opportunity,"
 Bitcoin -0.64%  is still in a downtrend and has pulled back to a swing level. We can see some  bearish  rejection of that level but nothing major. I will risk a small trade on this one as downside potential is quite big. 

Entry 6463 
SL 6700
",Short,33,0,0
1530852066.0,yuness123,day trade,"
1st chart 
green line above the green line and in 2nd chart the line is above the green line  
buy and sell
",,31,0,0
1530851830.0,Cryptocurrency_Analytics,BTCUSD New Sell Order ,"
Stop Loss on Stop Loss 6793.6
",,82,1,1
1530850820.0,VBF,BTC 1,"
MOT CHUT PTKT  CHO  CO
",,75,1,0
1530850370.0,Undertable,180706 whales never give up yet,"




2 hours ago




Lol, This is really interesting spot 

As you can see in the main chart, we got rejected in last 12hrs (it was war!!!) 
However, bulls managed to defense $6,414 which was end of wave (4) 







So, I think it is more likely to go up. 
It is very suitable for both ""starting of long term uptrend(brown)"" and ""going to $7.3K first and down to HELL(blue)"" 
(Of course, I do support blue count, we need to go down more, maybe below $4.8K? :D) 

So, I will might put some long like below: 












4 minutes ago





Comment:







took some profit and hoping to re-enter at $6,470

					
				




",,111,1,0
1530848184.0,pkealoha76,BTCUSDT- Two Distinct Possibilities,"




3 hours ago




My original count was crazy so I stripped it down & redid it with a lot more simplicity so I could see the price action LOL. I have redone my counts so many times as the market shows us more of its intent. I was super  bearish  actually but decided to go against the grain for a little & have profited good thus far. I don’t believe the wave 5 will go too far or my extended 3rd theory will be invalidated unless it goes past 8000 hmmm...That’s a kinda pipe dream with this sentiment. I think my bias being a crypto fan boy makes me a perma-bear & I look for anything to make my counts fit that at times. I do keep the rules strict until invalidation. Definitely not perfect & I’ll slip a cog here or there LOL. This is what I kinda see may happen but the market will always do whatever it wants and humble even the haughtiest of a trader. I’ll be looking at all possibilities of course beyond  Elliott . Just an idea I’m long on currently. Tight stops. Mahalo & aloha! 






2 hours ago





Comment:
					Just noticed. If it breaks the trend line down ... looks like 69-70k is important. I think that area is significant? Anyway don’t long too hard. Hey I’m long, keeping the stop tight ‘yo. That’s how I roll! Here’s some entertainment. Nothing more: 










",Long,116,5,2
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC -0.62%  - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
1530844759.0,MuffyPuffy,Bitcoin forecast for the next weeks (bearish),"
Looking on the  RSI , we can see a reversal everytime when we hit an oversold situation, only despite on the last one. 
Furthermore we are forming a triangle, in which we are currently at the 4th wave. 
Hence we should see a small upwave and then a big last downwave due to the RSI! 

The small upwave:  






There are many different legit counts currently, but one of them is this one with quite perfekt  Elliott Wave  extentions. 







If we assume that our  Elliott Wave  is finished and we are now in a corrective  ABC  wave, than a normal correction to the 0.38 Fibonacci-level would be nearby at 7300$. 
Currently we have formed a  leading diagonal  and are waiting for a minor correction to a target between 6350$-6150$. 

The big downwave:  
At nearby 7300$ we should hit the major longterm resistance and heading downwards again. 
For the big downwards target please read my last TA I've written the last month ago. 




 

Personally my target is nearby 5000$ to 4700$, but that will be decided if I have more data. 

DYOR
",,149,0,2
1530842916.0,sonic10,BTC Analysis,"
New  ABCD pattern 
",Long,101,1,1
1530842503.0,theforexarmy,"BTCUSD Testing Intermediate Support, Prepare For A Drop!","
Sell below 6760.  
Stop loss at 7038.  
Take profit at 6294. 
Reason for the trading strategy (technically): 
BTCUSD -0.64%  is testing its intermediate support at 6463 (61.8%  Fibonacci retracement , horizontal overlap support) where it could either rise back up to its resistance at 6760 before dropping or it could break past its intermediate support and drop down to its support at 6294 (50%  Fibonacci retracement , horizontal overlap support).  
Stochastic  (89, 5, 3) reversed nicely off its resistance at 95% where a corresponding drop is expected. 
",Short,131,0,2
1530840557.0,Altcoin_Ninjas,BTCUSD,"
We all know  Bitcoin -0.64%  is back! However, it will stay in the  resistance zone  from 6520-6540 because India's  central bank  is directing all banks to stop providing any services related to crypto but the country's finance ministry has not given the opinion yet. Investors still lack confidence.
",,139,1,3
1530836560.0,FarmerTIm,Falling Wedge Technicals,"
Hello everybody, 

I made a post yesterday about the 6 month long  falling wedge bitcoin -0.64%  entered. I want to explain a bit more of the fundamentals on why a  falling wedge  is a great way to see where price action has a good chance of going. 

If you don't know already, a  falling wedge  is a  bullish  signal. As it gets to the end the price starts moving more sideways and tighter into the point of the  wedge . When the candle sticks start to get towards the edge it is time to keep a close eye the price moving outside those lines.  

It's when the price exits on the top is the time to get into the trade. Be patient thought! Do not jump in the second the price is out. I like it to move a little further for confirmation because placing lines is not exact. 

Now the fun part about  falling wedge  breakouts is that the size of the end of the  wedge  is normally the size of the rally that happens. That is a lot of cheddar. If/when  bitcoin -0.64%  breaks out we have a great chance of seeing all time highs being tested again quickly. 

Just my two cents on the issue.
",Long,163,0,5
1530854758.0,KoolAid002,FISH,"
4 FISH
",,24,0,0
1530854097.0,jamstock,BTCUSD possible short opportunity,"
 Bitcoin -0.64%  is still in a downtrend and has pulled back to a swing level. We can see some  bearish  rejection of that level but nothing major. I will risk a small trade on this one as downside potential is quite big. 

Entry 6463 
SL 6700
",Short,33,0,0
1530852066.0,yuness123,day trade,"
1st chart 
green line above the green line and in 2nd chart the line is above the green line  
buy and sell
",,31,0,0
1530851830.0,Cryptocurrency_Analytics,BTCUSD New Sell Order ,"
Stop Loss on Stop Loss 6793.6
",,82,1,1
1530850820.0,VBF,BTC 1,"
MOT CHUT PTKT  CHO  CO
",,75,1,0
1530850370.0,Undertable,180706 whales never give up yet,"




2 hours ago




Lol, This is really interesting spot 

As you can see in the main chart, we got rejected in last 12hrs (it was war!!!) 
However, bulls managed to defense $6,414 which was end of wave (4) 







So, I think it is more likely to go up. 
It is very suitable for both ""starting of long term uptrend(brown)"" and ""going to $7.3K first and down to HELL(blue)"" 
(Of course, I do support blue count, we need to go down more, maybe below $4.8K? :D) 

So, I will might put some long like below: 












5 minutes ago





Comment:







took some profit and hoping to re-enter at $6,470

					
				




",,111,1,0
1530848184.0,pkealoha76,BTCUSDT- Two Distinct Possibilities,"




3 hours ago




My original count was crazy so I stripped it down & redid it with a lot more simplicity so I could see the price action LOL. I have redone my counts so many times as the market shows us more of its intent. I was super  bearish  actually but decided to go against the grain for a little & have profited good thus far. I don’t believe the wave 5 will go too far or my extended 3rd theory will be invalidated unless it goes past 8000 hmmm...That’s a kinda pipe dream with this sentiment. I think my bias being a crypto fan boy makes me a perma-bear & I look for anything to make my counts fit that at times. I do keep the rules strict until invalidation. Definitely not perfect & I’ll slip a cog here or there LOL. This is what I kinda see may happen but the market will always do whatever it wants and humble even the haughtiest of a trader. I’ll be looking at all possibilities of course beyond  Elliott . Just an idea I’m long on currently. Tight stops. Mahalo & aloha! 






2 hours ago





Comment:
					Just noticed. If it breaks the trend line down ... looks like 69-70k is important. I think that area is significant? Anyway don’t long too hard. Hey I’m long, keeping the stop tight ‘yo. That’s how I roll! Here’s some entertainment. Nothing more: 










",Long,116,5,2
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC -0.64%  - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
1530844759.0,MuffyPuffy,Bitcoin forecast for the next weeks (bearish),"
Looking on the  RSI , we can see a reversal everytime when we hit an oversold situation, only despite on the last one. 
Furthermore we are forming a triangle, in which we are currently at the 4th wave. 
Hence we should see a small upwave and then a big last downwave due to the RSI! 

The small upwave:  






There are many different legit counts currently, but one of them is this one with quite perfekt  Elliott Wave  extentions. 







If we assume that our  Elliott Wave  is finished and we are now in a corrective  ABC  wave, than a normal correction to the 0.38 Fibonacci-level would be nearby at 7300$. 
Currently we have formed a  leading diagonal  and are waiting for a minor correction to a target between 6350$-6150$. 

The big downwave:  
At nearby 7300$ we should hit the major longterm resistance and heading downwards again. 
For the big downwards target please read my last TA I've written the last month ago. 




 

Personally my target is nearby 5000$ to 4700$, but that will be decided if I have more data. 

DYOR
",,149,0,2
1530842916.0,sonic10,BTC Analysis,"
New  ABCD pattern 
",Long,101,1,1
1530842503.0,theforexarmy,"BTCUSD Testing Intermediate Support, Prepare For A Drop!","
Sell below 6760.  
Stop loss at 7038.  
Take profit at 6294. 
Reason for the trading strategy (technically): 
BTCUSD              is testing its intermediate support at 6463 (61.8%  Fibonacci retracement , horizontal overlap support) where it could either rise back up to its resistance at 6760 before dropping or it could break past its intermediate support and drop down to its support at 6294 (50%  Fibonacci retracement , horizontal overlap support).  
Stochastic  (89, 5, 3) reversed nicely off its resistance at 95% where a corresponding drop is expected. 
",Short,131,0,2
1530840557.0,Altcoin_Ninjas,BTCUSD,"
We all know  Bitcoin -0.64%  is back! However, it will stay in the  resistance zone  from 6520-6540 because India's  central bank  is directing all banks to stop providing any services related to crypto but the country's finance ministry has not given the opinion yet. Investors still lack confidence.
",,139,1,3
1530836560.0,FarmerTIm,Falling Wedge Technicals,"
Hello everybody, 

I made a post yesterday about the 6 month long  falling wedge bitcoin              entered. I want to explain a bit more of the fundamentals on why a  falling wedge  is a great way to see where price action has a good chance of going. 

If you don't know already, a  falling wedge  is a  bullish  signal. As it gets to the end the price starts moving more sideways and tighter into the point of the  wedge . When the candle sticks start to get towards the edge it is time to keep a close eye the price moving outside those lines.  

It's when the price exits on the top is the time to get into the trade. Be patient thought! Do not jump in the second the price is out. I like it to move a little further for confirmation because placing lines is not exact. 

Now the fun part about  falling wedge  breakouts is that the size of the end of the  wedge  is normally the size of the rally that happens. That is a lot of cheddar. If/when  bitcoin              breaks out we have a great chance of seeing all time highs being tested again quickly. 

Just my two cents on the issue.
",Long,163,0,5
1530854758.0,KoolAid002,FISH,"
4 FISH
",,24,0,0
1530854097.0,jamstock,BTCUSD possible short opportunity,"
 Bitcoin              is still in a downtrend and has pulled back to a swing level. We can see some  bearish  rejection of that level but nothing major. I will risk a small trade on this one as downside potential is quite big. 

Entry 6463 
SL 6700
",Short,33,0,0
1530852066.0,yuness123,day trade,"
1st chart 
green line above the green line and in 2nd chart the line is above the green line  
buy and sell
",,31,0,0
1530851830.0,Cryptocurrency_Analytics,BTCUSD New Sell Order ,"
Stop Loss on Stop Loss 6793.6
",,82,1,1
1530850820.0,VBF,BTC 1,"
MOT CHUT PTKT  CHO  CO
",,75,1,0
1530850370.0,Undertable,180706 whales never give up yet,"




2 hours ago




Lol, This is really interesting spot 

As you can see in the main chart, we got rejected in last 12hrs (it was war!!!) 
However, bulls managed to defense $6,414 which was end of wave (4) 







So, I think it is more likely to go up. 
It is very suitable for both ""starting of long term uptrend(brown)"" and ""going to $7.3K first and down to HELL(blue)"" 
(Of course, I do support blue count, we need to go down more, maybe below $4.8K? :D) 

So, I will might put some long like below: 












6 minutes ago





Comment:







took some profit and hoping to re-enter at $6,470

					
				




",,111,1,0
1530848184.0,pkealoha76,BTCUSDT- Two Distinct Possibilities,"




3 hours ago




My original count was crazy so I stripped it down & redid it with a lot more simplicity so I could see the price action LOL. I have redone my counts so many times as the market shows us more of its intent. I was super  bearish  actually but decided to go against the grain for a little & have profited good thus far. I don’t believe the wave 5 will go too far or my extended 3rd theory will be invalidated unless it goes past 8000 hmmm...That’s a kinda pipe dream with this sentiment. I think my bias being a crypto fan boy makes me a perma-bear & I look for anything to make my counts fit that at times. I do keep the rules strict until invalidation. Definitely not perfect & I’ll slip a cog here or there LOL. This is what I kinda see may happen but the market will always do whatever it wants and humble even the haughtiest of a trader. I’ll be looking at all possibilities of course beyond  Elliott . Just an idea I’m long on currently. Tight stops. Mahalo & aloha! 






2 hours ago





Comment:
					Just noticed. If it breaks the trend line down ... looks like 69-70k is important. I think that area is significant? Anyway don’t long too hard. Hey I’m long, keeping the stop tight ‘yo. That’s how I roll! Here’s some entertainment. Nothing more: 










",Long,116,5,2
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC              - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
1530844759.0,MuffyPuffy,Bitcoin forecast for the next weeks (bearish),"
Looking on the  RSI , we can see a reversal everytime when we hit an oversold situation, only despite on the last one. 
Furthermore we are forming a triangle, in which we are currently at the 4th wave. 
Hence we should see a small upwave and then a big last downwave due to the RSI! 

The small upwave:  






There are many different legit counts currently, but one of them is this one with quite perfekt  Elliott Wave  extentions. 







If we assume that our  Elliott Wave  is finished and we are now in a corrective  ABC  wave, than a normal correction to the 0.38 Fibonacci-level would be nearby at 7300$. 
Currently we have formed a  leading diagonal  and are waiting for a minor correction to a target between 6350$-6150$. 

The big downwave:  
At nearby 7300$ we should hit the major longterm resistance and heading downwards again. 
For the big downwards target please read my last TA I've written the last month ago. 




 

Personally my target is nearby 5000$ to 4700$, but that will be decided if I have more data. 

DYOR
",,149,0,2
1530842916.0,sonic10,BTC Analysis,"
New  ABCD pattern 
",Long,101,1,1
1530842503.0,theforexarmy,"BTCUSD Testing Intermediate Support, Prepare For A Drop!","
Sell below 6760.  
Stop loss at 7038.  
Take profit at 6294. 
Reason for the trading strategy (technically): 
BTCUSD              is testing its intermediate support at 6463 (61.8%  Fibonacci retracement , horizontal overlap support) where it could either rise back up to its resistance at 6760 before dropping or it could break past its intermediate support and drop down to its support at 6294 (50%  Fibonacci retracement , horizontal overlap support).  
Stochastic  (89, 5, 3) reversed nicely off its resistance at 95% where a corresponding drop is expected. 
",Short,131,0,2
1530840557.0,Altcoin_Ninjas,BTCUSD,"
We all know  Bitcoin -0.71%  is back! However, it will stay in the  resistance zone  from 6520-6540 because India's  central bank  is directing all banks to stop providing any services related to crypto but the country's finance ministry has not given the opinion yet. Investors still lack confidence.
",,139,1,3
1530836560.0,FarmerTIm,Falling Wedge Technicals,"
Hello everybody, 

I made a post yesterday about the 6 month long  falling wedge bitcoin              entered. I want to explain a bit more of the fundamentals on why a  falling wedge  is a great way to see where price action has a good chance of going. 

If you don't know already, a  falling wedge  is a  bullish  signal. As it gets to the end the price starts moving more sideways and tighter into the point of the  wedge . When the candle sticks start to get towards the edge it is time to keep a close eye the price moving outside those lines.  

It's when the price exits on the top is the time to get into the trade. Be patient thought! Do not jump in the second the price is out. I like it to move a little further for confirmation because placing lines is not exact. 

Now the fun part about  falling wedge  breakouts is that the size of the end of the  wedge  is normally the size of the rally that happens. That is a lot of cheddar. If/when  bitcoin              breaks out we have a great chance of seeing all time highs being tested again quickly. 

Just my two cents on the issue.
",Long,163,0,5
1530854758.0,KoolAid002,FISH,"
4 FISH
",,24,0,0
1530854097.0,jamstock,BTCUSD possible short opportunity,"
 Bitcoin              is still in a downtrend and has pulled back to a swing level. We can see some  bearish  rejection of that level but nothing major. I will risk a small trade on this one as downside potential is quite big. 

Entry 6463 
SL 6700
",Short,33,0,0
1530852066.0,yuness123,day trade,"
1st chart 
green line above the green line and in 2nd chart the line is above the green line  
buy and sell
",,31,0,0
1530851830.0,Cryptocurrency_Analytics,BTCUSD New Sell Order ,"
Stop Loss on Stop Loss 6793.6
",,82,1,1
1530850820.0,VBF,BTC 1,"
MOT CHUT PTKT  CHO  CO
",,75,1,0
1530850370.0,Undertable,180706 whales never give up yet,"




2 hours ago




Lol, This is really interesting spot 

As you can see in the main chart, we got rejected in last 12hrs (it was war!!!) 
However, bulls managed to defense $6,414 which was end of wave (4) 







So, I think it is more likely to go up. 
It is very suitable for both ""starting of long term uptrend(brown)"" and ""going to $7.3K first and down to HELL(blue)"" 
(Of course, I do support blue count, we need to go down more, maybe below $4.8K? :D) 

So, I will might put some long like below: 












7 minutes ago





Comment:







took some profit and hoping to re-enter at $6,470

					
				




",,111,1,0
1530848184.0,pkealoha76,BTCUSDT- Two Distinct Possibilities,"




3 hours ago




My original count was crazy so I stripped it down & redid it with a lot more simplicity so I could see the price action LOL. I have redone my counts so many times as the market shows us more of its intent. I was super  bearish  actually but decided to go against the grain for a little & have profited good thus far. I don’t believe the wave 5 will go too far or my extended 3rd theory will be invalidated unless it goes past 8000 hmmm...That’s a kinda pipe dream with this sentiment. I think my bias being a crypto fan boy makes me a perma-bear & I look for anything to make my counts fit that at times. I do keep the rules strict until invalidation. Definitely not perfect & I’ll slip a cog here or there LOL. This is what I kinda see may happen but the market will always do whatever it wants and humble even the haughtiest of a trader. I’ll be looking at all possibilities of course beyond  Elliott . Just an idea I’m long on currently. Tight stops. Mahalo & aloha! 






2 hours ago





Comment:
					Just noticed. If it breaks the trend line down ... looks like 69-70k is important. I think that area is significant? Anyway don’t long too hard. Hey I’m long, keeping the stop tight ‘yo. That’s how I roll! Here’s some entertainment. Nothing more: 










",Long,116,5,2
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC              - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
1530844759.0,MuffyPuffy,Bitcoin forecast for the next weeks (bearish),"
Looking on the  RSI , we can see a reversal everytime when we hit an oversold situation, only despite on the last one. 
Furthermore we are forming a triangle, in which we are currently at the 4th wave. 
Hence we should see a small upwave and then a big last downwave due to the RSI! 

The small upwave:  






There are many different legit counts currently, but one of them is this one with quite perfekt  Elliott Wave  extentions. 







If we assume that our  Elliott Wave  is finished and we are now in a corrective  ABC  wave, than a normal correction to the 0.38 Fibonacci-level would be nearby at 7300$. 
Currently we have formed a  leading diagonal  and are waiting for a minor correction to a target between 6350$-6150$. 

The big downwave:  
At nearby 7300$ we should hit the major longterm resistance and heading downwards again. 
For the big downwards target please read my last TA I've written the last month ago. 




 

Personally my target is nearby 5000$ to 4700$, but that will be decided if I have more data. 

DYOR
",,149,0,2
1530842916.0,sonic10,BTC Analysis,"
New  ABCD pattern 
",Long,101,1,1
1530842503.0,theforexarmy,"BTCUSD Testing Intermediate Support, Prepare For A Drop!","
Sell below 6760.  
Stop loss at 7038.  
Take profit at 6294. 
Reason for the trading strategy (technically): 
BTCUSD -0.71%  is testing its intermediate support at 6463 (61.8%  Fibonacci retracement , horizontal overlap support) where it could either rise back up to its resistance at 6760 before dropping or it could break past its intermediate support and drop down to its support at 6294 (50%  Fibonacci retracement , horizontal overlap support).  
Stochastic  (89, 5, 3) reversed nicely off its resistance at 95% where a corresponding drop is expected. 
",Short,131,0,2
1530840557.0,Altcoin_Ninjas,BTCUSD,"
We all know  Bitcoin              is back! However, it will stay in the  resistance zone  from 6520-6540 because India's  central bank  is directing all banks to stop providing any services related to crypto but the country's finance ministry has not given the opinion yet. Investors still lack confidence.
",,139,1,3
1530836560.0,FarmerTIm,Falling Wedge Technicals,"
Hello everybody, 

I made a post yesterday about the 6 month long  falling wedge bitcoin              entered. I want to explain a bit more of the fundamentals on why a  falling wedge  is a great way to see where price action has a good chance of going. 

If you don't know already, a  falling wedge  is a  bullish  signal. As it gets to the end the price starts moving more sideways and tighter into the point of the  wedge . When the candle sticks start to get towards the edge it is time to keep a close eye the price moving outside those lines.  

It's when the price exits on the top is the time to get into the trade. Be patient thought! Do not jump in the second the price is out. I like it to move a little further for confirmation because placing lines is not exact. 

Now the fun part about  falling wedge  breakouts is that the size of the end of the  wedge  is normally the size of the rally that happens. That is a lot of cheddar. If/when  bitcoin              breaks out we have a great chance of seeing all time highs being tested again quickly. 

Just my two cents on the issue.
",Long,163,0,5
1530854758.0,KoolAid002,FISH,"
4 FISH
",,24,0,0
1530854097.0,jamstock,BTCUSD possible short opportunity,"
 Bitcoin -0.71%  is still in a downtrend and has pulled back to a swing level. We can see some  bearish  rejection of that level but nothing major. I will risk a small trade on this one as downside potential is quite big. 

Entry 6463 
SL 6700
",Short,33,0,0
1530852066.0,yuness123,day trade,"
1st chart 
green line above the green line and in 2nd chart the line is above the green line  
buy and sell
",,31,0,0
1530851830.0,Cryptocurrency_Analytics,BTCUSD New Sell Order ,"
Stop Loss on Stop Loss 6793.6
",,82,1,1
1530850820.0,VBF,BTC 1,"
MOT CHUT PTKT  CHO  CO
",,75,1,0
1530850370.0,Undertable,180706 whales never give up yet,"




2 hours ago




Lol, This is really interesting spot 

As you can see in the main chart, we got rejected in last 12hrs (it was war!!!) 
However, bulls managed to defense $6,414 which was end of wave (4) 







So, I think it is more likely to go up. 
It is very suitable for both ""starting of long term uptrend(brown)"" and ""going to $7.3K first and down to HELL(blue)"" 
(Of course, I do support blue count, we need to go down more, maybe below $4.8K? :D) 

So, I will might put some long like below: 












8 minutes ago





Comment:







took some profit and hoping to re-enter at $6,470

					
				




",,111,1,0
1530848184.0,pkealoha76,BTCUSDT- Two Distinct Possibilities,"




3 hours ago




My original count was crazy so I stripped it down & redid it with a lot more simplicity so I could see the price action LOL. I have redone my counts so many times as the market shows us more of its intent. I was super  bearish  actually but decided to go against the grain for a little & have profited good thus far. I don’t believe the wave 5 will go too far or my extended 3rd theory will be invalidated unless it goes past 8000 hmmm...That’s a kinda pipe dream with this sentiment. I think my bias being a crypto fan boy makes me a perma-bear & I look for anything to make my counts fit that at times. I do keep the rules strict until invalidation. Definitely not perfect & I’ll slip a cog here or there LOL. This is what I kinda see may happen but the market will always do whatever it wants and humble even the haughtiest of a trader. I’ll be looking at all possibilities of course beyond  Elliott . Just an idea I’m long on currently. Tight stops. Mahalo & aloha! 






2 hours ago





Comment:
					Just noticed. If it breaks the trend line down ... looks like 69-70k is important. I think that area is significant? Anyway don’t long too hard. Hey I’m long, keeping the stop tight ‘yo. That’s how I roll! Here’s some entertainment. Nothing more: 










",Long,116,5,2
1530844560.0,mycotoxin,BTC - Has a a short-term moving coming up 6372 or 6740,"
 BTC -0.69%  - Short-term moving coming up 6372 or 6740
",,87,2,0
1530842626.0,appimagine,Wait & See BTC Price,"
Just Prediction for to week n long 
",Long,81,0,1
1530842314.0,raphaelrehman,Bitcoin showing little bullish sides,"
....
",,40,0,0
1530840483.0,gregloren1,BITCOIN VIDEO UPDATE JUNE 5TH,"
NOT MUCH HAS CHANGED BUT HERE IS A UPDATE AS FEW PEOPLE REQUESTED 

GOOD LUCK ALL !!
",,211,7,14
1530850630.0,VBF,btc 1,"
ok mot chut ptkt 
",,31,0,0
1530850245.0,Crypto_Blu,Down.,"
Looks like turbulence seems to be calming down. Concave shape forming. We might be going down.
",Short,49,0,0
